,mean_accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,config/b_size,config/dec_lr,config/lr,logdir
0,"[0.1836734693877551, 0.10204081632653061, 0.16326530612244897, 0.1836734693877551, 0.08163265306122448, 0.04081632653061224, 0.08163265306122448, 0.22448979591836735, 0.16326530612244897, 0.10204081632653061, 0.10204081632653061, 0.08163265306122448, 0.14285714285714285, 0.10204081632653061, 0.1836734693877551, 0.20408163265306123, 0.24489795918367346, 0.061224489795918366, 0.16326530612244897, 0.20408163265306123, 0.08163265306122448, 0.16326530612244897, 0.12244897959183673, 0.12244897959183673, 0.02040816326530612, 0.1836734693877551, 0.16326530612244897, 0.1836734693877551, 0.08163265306122448, 0.14285714285714285, 0.14285714285714285, 0.12244897959183673, 0.12244897959183673, 0.20408163265306123, 0.14285714285714285, 0.04081632653061224, 0.10204081632653061, 0.14285714285714285, 0.16326530612244897, 0.10204081632653061, 0.16326530612244897, 0.12244897959183673, 0.14285714285714285, 0.16326530612244897, 0.1836734693877551, 0.14285714285714285, 0.12244897959183673, 0.04081632653061224, 0.16326530612244897, 0.08163265306122448, 0.08163265306122448, 0.22448979591836735, 0.14285714285714285, 0.16326530612244897, 0.04081632653061224, 0.10204081632653061, 0.10204081632653061, 0.1836734693877551, 0.16326530612244897, 0.14285714285714285, 0.12244897959183673, 0.22448979591836735, 0.08163265306122448, 0.12244897959183673, 0.08163265306122448, 0.20408163265306123, 0.12244897959183673, 0.08163265306122448, 0.08163265306122448, 0.16326530612244897, 0.16326530612244897, 0.08163265306122448, 0.12244897959183673, 0.08163265306122448, 0.10204081632653061, 0.14285714285714285, 0.12244897959183673, 0.1836734693877551, 0.12244897959183673, 0.10204081632653061, 0.10204081632653061, 0.12244897959183673, 0.20408163265306123, 0.04081632653061224, 0.04081632653061224, 0.12244897959183673, 0.12244897959183673, 0.14285714285714285, 0.16326530612244897, 0.12244897959183673, 0.12244897959183673, 0.10204081632653061, 0.02040816326530612, 0.12244897959183673, 0.10204081632653061, 0.08163265306122448, 0.10204081632653061, 0.14285714285714285, 0.22448979591836735, 0.14285714285714285, 0.16326530612244897, 0.10204081632653061, 0.061224489795918366, 0.12244897959183673, 0.12244897959183673, 0.061224489795918366, 0.10204081632653061, 0.04081632653061224, 0.10204081632653061, 0.12244897959183673, 0.16326530612244897, 0.20408163265306123, 0.16326530612244897, 0.14285714285714285, 0.16326530612244897, 0.10204081632653061, 0.16326530612244897, 0.08163265306122448, 0.10204081632653061, 0.1836734693877551, 0.16326530612244897, 0.1836734693877551, 0.24489795918367346, 0.08163265306122448, 0.10204081632653061, 0.061224489795918366, 0.16326530612244897, 0.12244897959183673, 0.14285714285714285, 0.16326530612244897, 0.14285714285714285, 0.10204081632653061, 0.10204081632653061, 0.1836734693877551, 0.14285714285714285, 0.10204081632653061, 0.12244897959183673, 0.1836734693877551, 0.10204081632653061, 0.10204081632653061, 0.1836734693877551, 0.10204081632653061, 0.1836734693877551, 0.12244897959183673, 0.14285714285714285, 0.10204081632653061, 0.14285714285714285, 0.12244897959183673, 0.02040816326530612, 0.04081632653061224, 0.08163265306122448, 0.10204081632653061, 0.14285714285714285, 0.08163265306122448, 0.12244897959183673, 0.12244897959183673, 0.16326530612244897, 0.061224489795918366, 0.20408163265306123, 0.10204081632653061, 0.04081632653061224, 0.061224489795918366, 0.12244897959183673, 0.08163265306122448, 0.061224489795918366, 0.08163265306122448, 0.12244897959183673, 0.12244897959183673, 0.12244897959183673, 0.10204081632653061, 0.061224489795918366, 0.12244897959183673, 0.14285714285714285, 0.08163265306122448, 0.14285714285714285, 0.12244897959183673, 0.061224489795918366, 0.12244897959183673, 0.061224489795918366, 0.10204081632653061, 0.061224489795918366, 0.08163265306122448, 0.16326530612244897, 0.10204081632653061, 0.08163265306122448, 0.08163265306122448, 0.061224489795918366, 0.12244897959183673, 0.10204081632653061, 0.16326530612244897, 0.22448979591836735, 0.16326530612244897, 0.0, 0.16326530612244897, 0.12244897959183673, 0.12244897959183673, 0.08163265306122448, 0.08163265306122448, 0.14285714285714285, 0.10204081632653061, 0.14285714285714285, 0.14285714285714285, 0.16326530612244897, 0.08163265306122448, 0.0]",88.20463275909424,False,,,5,2ad176e1be0341139af92003c04c8b5a,2021-05-23_16-50-20,1621781420,532.0500020980835,14896,mfranke-MS-7818,10.23.2.84,532.0500020980835,0,5,f40225b6,49.19205497476767,0.9507143064099162,0.007346740023932911,"/home/mfranke/ray_results/minibatch_build_2021-05-23_16-41-26/minibatch_build_f40225b6_1_b_size=49.192,dec_lr=0.95071,lr=0.0073467_2021-05-23_16-41-26"
1,"[0.987012987012987, 0.922077922077922, 0.961038961038961, 0.922077922077922, 0.8961038961038961, 0.8961038961038961, 0.935064935064935, 0.8571428571428571, 0.8831168831168831, 0.9090909090909091, 0.961038961038961, 0.961038961038961, 0.8571428571428571, 0.9090909090909091, 0.8831168831168831, 0.8701298701298701, 0.8311688311688312, 0.9090909090909091, 0.948051948051948, 0.8961038961038961, 0.8961038961038961, 0.935064935064935, 0.8701298701298701, 0.9090909090909091, 0.922077922077922, 0.8831168831168831, 0.8961038961038961, 0.8701298701298701, 0.8961038961038961, 0.922077922077922, 0.935064935064935, 0.8701298701298701, 0.974025974025974, 0.922077922077922, 0.922077922077922, 0.9090909090909091, 0.948051948051948, 0.922077922077922, 0.922077922077922, 0.935064935064935, 0.9090909090909091, 0.935064935064935, 0.8831168831168831, 0.8961038961038961, 0.922077922077922, 0.935064935064935, 0.8441558441558441, 0.961038961038961, 0.8831168831168831, 0.8051948051948052, 0.8831168831168831, 0.9090909090909091, 0.8831168831168831, 0.922077922077922, 0.8831168831168831, 0.8571428571428571, 0.8961038961038961, 0.8961038961038961, 0.935064935064935, 0.9090909090909091, 0.935064935064935, 0.9090909090909091, 0.8701298701298701, 0.8961038961038961, 0.9090909090909091, 0.922077922077922, 0.974025974025974, 0.987012987012987, 0.961038961038961, 0.987012987012987, 0.987012987012987, 0.987012987012987, 0.922077922077922, 0.9090909090909091, 0.935064935064935, 0.948051948051948, 0.8441558441558441, 0.8571428571428571, 0.8961038961038961, 0.948051948051948, 0.948051948051948, 1.0, 0.987012987012987, 0.948051948051948, 0.961038961038961, 0.8311688311688312, 0.9090909090909091, 0.8961038961038961, 0.974025974025974, 0.974025974025974, 0.987012987012987, 0.974025974025974, 0.948051948051948, 0.948051948051948, 0.987012987012987, 0.974025974025974, 0.935064935064935, 0.9090909090909091, 0.974025974025974, 0.974025974025974, 0.987012987012987, 0.8961038961038961, 0.8311688311688312, 0.987012987012987, 0.948051948051948, 0.948051948051948, 0.948051948051948, 0.961038961038961, 0.974025974025974, 0.974025974025974, 0.974025974025974, 1.0, 1.0, 1.0, 1.0, 1.0, 0.987012987012987, 0.8701298701298701, 0.987012987012987, 0.987012987012987, 0.987012987012987, 1.0, 0.974025974025974, 0.974025974025974, 0.948051948051948, 0.8961038961038961, 0.8181818181818182, 0.8961038961038961, 0.8701298701298701, 0.9104477611940298]",102.67985963821413,False,,,5,6032c7cf819b4a5d89bca275b9da2c46,2021-05-23_16-50-02,1621781402,513.9490435123444,14901,mfranke-MS-7818,10.23.2.84,513.9490435123444,0,5,f40225b7,77.43096900882661,0.15601864044243652,0.0016443457513284064,"/home/mfranke/ray_results/minibatch_build_2021-05-23_16-41-26/minibatch_build_f40225b7_2_b_size=77.431,dec_lr=0.15602,lr=0.0016443_2021-05-23_16-41-26"
2,"[0.3333333333333333, 0.0, 0.3333333333333333, 0.1111111111111111, 0.1111111111111111, 0.3333333333333333, 0.2222222222222222, 0.1111111111111111, 0.0, 0.1111111111111111, 0.0, 0.0, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.0, 0.2222222222222222, 0.6666666666666666, 0.0, 0.2222222222222222, 0.1111111111111111, 0.0, 0.1111111111111111, 0.3333333333333333, 0.2222222222222222, 0.0, 0.1111111111111111, 0.1111111111111111, 0.0, 0.0, 0.0, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.0, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.5555555555555556, 0.1111111111111111, 0.3333333333333333, 0.3333333333333333, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.0, 0.0, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.0, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.0, 0.0, 0.2222222222222222, 0.0, 0.2222222222222222, 0.1111111111111111, 0.0, 0.1111111111111111, 0.1111111111111111, 0.0, 0.1111111111111111, 0.3333333333333333, 0.0, 0.1111111111111111, 0.1111111111111111, 0.3333333333333333, 0.3333333333333333, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.4444444444444444, 0.1111111111111111, 0.4444444444444444, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.3333333333333333, 0.1111111111111111, 0.3333333333333333, 0.3333333333333333, 0.2222222222222222, 0.0, 0.0, 0.1111111111111111, 0.1111111111111111, 0.0, 0.0, 0.4444444444444444, 0.2222222222222222, 0.2222222222222222, 0.3333333333333333, 0.0, 0.1111111111111111, 0.1111111111111111, 0.6666666666666666, 0.1111111111111111, 0.2222222222222222, 0.0, 0.2222222222222222, 0.0, 0.1111111111111111, 0.3333333333333333, 0.2222222222222222, 0.0, 0.3333333333333333, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.0, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.3333333333333333, 0.3333333333333333, 0.0, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.3333333333333333, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.0, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.0, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.0, 0.2222222222222222, 0.2222222222222222, 0.0, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.0, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.0, 0.2222222222222222, 0.0, 0.2222222222222222, 0.1111111111111111, 0.4444444444444444, 0.1111111111111111, 0.3333333333333333, 0.1111111111111111, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.3333333333333333, 0.0, 0.1111111111111111, 0.1111111111111111, 0.0, 0.1111111111111111, 0.1111111111111111, 0.0, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.0, 0.0, 0.1111111111111111, 0.2222222222222222, 0.2222222222222222, 0.0, 0.0, 0.0, 0.2222222222222222, 0.1111111111111111, 0.0, 0.2222222222222222, 0.0, 0.2222222222222222, 0.1111111111111111, 0.0, 0.2222222222222222, 0.2222222222222222, 0.3333333333333333, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.0, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.3333333333333333, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.3333333333333333, 0.0, 0.1111111111111111, 0.0, 0.2222222222222222, 0.0, 0.1111111111111111, 0.0, 0.1111111111111111, 0.2222222222222222, 0.3333333333333333, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.0, 0.1111111111111111, 0.0, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.0, 0.2222222222222222, 0.4444444444444444, 0.4444444444444444, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.0, 0.2222222222222222, 0.3333333333333333, 0.1111111111111111, 0.1111111111111111, 0.0, 0.1111111111111111, 0.2222222222222222, 0.0, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.0, 0.1111111111111111, 0.0, 0.0, 0.2222222222222222, 0.2222222222222222, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.0, 0.2222222222222222, 0.1111111111111111, 0.3333333333333333, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.3333333333333333, 0.1111111111111111, 0.3333333333333333, 0.2222222222222222, 0.1111111111111111, 0.0, 0.2222222222222222, 0.2222222222222222, 0.0, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.0, 0.3333333333333333, 0.3333333333333333, 0.2222222222222222, 0.4444444444444444, 0.0, 0.0, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.0, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.3333333333333333, 0.1111111111111111, 0.1111111111111111, 0.3333333333333333, 0.3333333333333333, 0.1111111111111111, 0.3333333333333333, 0.0, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.0, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.3333333333333333, 0.1111111111111111, 0.1111111111111111, 0.4444444444444444, 0.2222222222222222, 0.0, 0.1111111111111111, 0.3333333333333333, 0.0, 0.2222222222222222, 0.3333333333333333, 0.0, 0.1111111111111111, 0.0, 0.1111111111111111, 0.3333333333333333, 0.0, 0.1111111111111111, 0.2222222222222222, 0.0, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.0, 0.3333333333333333, 0.1111111111111111, 0.0, 0.2222222222222222, 0.2222222222222222, 0.0, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.0, 0.2222222222222222, 0.3333333333333333, 0.0, 0.1111111111111111, 0.3333333333333333, 0.1111111111111111, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.0, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.3333333333333333, 0.2222222222222222, 0.0, 0.0, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.0, 0.3333333333333333, 0.0, 0.1111111111111111, 0.0, 0.0, 0.3333333333333333, 0.1111111111111111, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.0, 0.0, 0.0, 0.1111111111111111, 0.2222222222222222, 0.0, 0.0, 0.2222222222222222, 0.0, 0.0, 0.1111111111111111, 0.0, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.2222222222222222, 0.0, 0.2222222222222222, 0.2222222222222222, 0.4444444444444444, 0.0, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.3333333333333333, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.0, 0.2222222222222222, 0.1111111111111111, 0.3333333333333333, 0.1111111111111111, 0.0, 0.0, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.0, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.0, 0.1111111111111111, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.2222222222222222, 0.3333333333333333, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.0, 0.2222222222222222, 0.1111111111111111, 0.0, 0.0, 0.2222222222222222, 0.1111111111111111, 0.5555555555555556, 0.2222222222222222, 0.0, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.0, 0.4444444444444444, 0.0, 0.2222222222222222, 0.1111111111111111, 0.3333333333333333, 0.1111111111111111, 0.0, 0.2222222222222222, 0.1111111111111111, 0.0, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.0, 0.0, 0.3333333333333333, 0.2222222222222222, 0.1111111111111111, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.1111111111111111, 0.0, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.0, 0.2222222222222222, 0.3333333333333333, 0.2222222222222222, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.1111111111111111, 0.2222222222222222, 0.0, 0.1111111111111111, 0.1111111111111111, 0.3333333333333333, 0.0, 0.1111111111111111, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.0, 0.1111111111111111, 0.2222222222222222, 0.3333333333333333, 0.0, 0.3333333333333333, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.3333333333333333, 0.1111111111111111, 0.0, 0.1111111111111111, 0.1111111111111111, 0.3333333333333333, 0.1111111111111111, 0.0, 0.0, 0.1111111111111111, 0.2222222222222222, 0.4444444444444444, 0.0, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.3333333333333333, 0.0, 0.1111111111111111, 0.0, 0.3333333333333333, 0.0, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.0, 0.1111111111111111, 0.0, 0.1111111111111111, 0.2222222222222222, 0.3333333333333333, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.0, 0.3333333333333333, 0.1111111111111111, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.0, 0.2222222222222222, 0.2222222222222222, 0.0, 0.3333333333333333, 0.1111111111111111, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.3333333333333333, 0.3333333333333333, 0.2222222222222222, 0.1111111111111111, 0.0, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.0, 0.0, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.1111111111111111, 0.1111111111111111, 0.0, 0.1111111111111111, 0.0, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.3333333333333333, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.0, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.0, 0.0, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.0, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.3333333333333333, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.0, 0.2222222222222222, 0.1111111111111111, 0.4444444444444444, 0.0, 0.0, 0.2222222222222222, 0.0, 0.1111111111111111, 0.0, 0.0, 0.2222222222222222, 0.1111111111111111, 0.3333333333333333, 0.1111111111111111, 0.2222222222222222, 0.3333333333333333, 0.1111111111111111, 0.0, 0.3333333333333333, 0.1111111111111111, 0.1111111111111111, 0.0, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.0, 0.0, 0.1111111111111111, 0.5555555555555556, 0.2222222222222222, 0.3333333333333333, 0.0, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.0, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.2222222222222222, 0.5555555555555556, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.0, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.4444444444444444, 0.2222222222222222, 0.1111111111111111, 0.0, 0.2222222222222222, 0.1111111111111111, 0.0, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.3333333333333333, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.0, 0.1111111111111111, 0.3333333333333333, 0.0, 0.1111111111111111, 0.0, 0.1111111111111111, 0.1111111111111111, 0.0, 0.1111111111111111, 0.1111111111111111, 0.0, 0.2222222222222222, 0.0, 0.0, 0.1111111111111111, 0.0, 0.1111111111111111, 0.1111111111111111, 0.0, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.0, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.0, 0.2222222222222222, 0.0, 0.0, 0.1111111111111111, 0.1111111111111111, 0.0, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.0, 0.2222222222222222, 0.0, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.2222222222222222, 0.0, 0.2222222222222222, 0.1111111111111111, 0.4444444444444444, 0.3333333333333333, 0.0, 0.0, 0.0, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.3333333333333333, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.0, 0.0, 0.0, 0.2222222222222222, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.0, 0.1111111111111111, 0.0, 0.1111111111111111, 0.0, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.0, 0.1111111111111111, 0.0, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.0, 0.0, 0.0, 0.2222222222222222, 0.0, 0.1111111111111111, 0.0, 0.0, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.0, 0.0, 0.3333333333333333, 0.1111111111111111, 0.3333333333333333, 0.0, 0.1111111111111111, 0.1111111111111111, 0.0, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.2222222222222222, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.0, 0.0, 0.2222222222222222, 0.2222222222222222, 0.0, 0.0, 0.1111111111111111, 0.1111111111111111, 0.0, 0.2222222222222222, 0.0, 0.1111111111111111, 0.3333333333333333, 0.2222222222222222, 0.0, 0.1111111111111111, 0.1111111111111111, 0.0, 0.2222222222222222, 0.1111111111111111, 0.0, 0.1111111111111111, 0.2222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.1111111111111111, 0.0, 0.2222222222222222, 0.1111111111111111, 0.0, 0.1111111111111111, 0.2222222222222222, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.1111111111111111, 0.3333333333333333, 0.0, 0.1111111111111111, 0.1111111111111111, 0.0, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.0, 0.1111111111111111, 0.0, 0.1111111111111111, 0.1111111111111111, 0.3333333333333333, 0.0, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.0, 0.0, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.0, 0.0, 0.2222222222222222, 0.2222222222222222, 0.0, 0.0, 0.1111111111111111, 0.2222222222222222, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.3333333333333333, 0.1111111111111111, 0.1111111111111111, 0.0, 0.0, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.0, 0.1111111111111111, 0.1111111111111111, 0.3333333333333333, 0.5555555555555556, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.0, 0.0, 0.1111111111111111, 0.0, 0.1111111111111111, 0.1111111111111111, 0.3333333333333333, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.0, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.0, 0.0, 0.2222222222222222, 0.3333333333333333, 0.0, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.0, 0.0, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.2222222222222222, 0.0, 0.0, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.0, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.0, 0.1111111111111111, 0.1111111111111111, 0.0, 0.2222222222222222, 0.1111111111111111, 0.0, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.0, 0.0, 0.0]",64.94919753074646,False,,,5,a486e38845344181a3c03d8d02f9bfbe,2021-05-23_16-52-39,1621781559,671.2264268398285,14898,mfranke-MS-7818,10.23.2.84,671.2264268398285,0,5,f40225b8,9.318535133193132,0.8661761457749352,0.006051038616257768,"/home/mfranke/ray_results/minibatch_build_2021-05-23_16-41-26/minibatch_build_f40225b8_3_b_size=9.3185,dec_lr=0.86618,lr=0.006051_2021-05-23_16-41-26"
